iter	Passed	Remaining
0	8	5381
1	18	5626
2	28	5597
3	37	5595
4	46	5550
5	49	4937
6	58	4997
7	68	5038
8	76	5056
9	86	5091
10	99	5325
11	109	5379
12	119	5374
13	128	5367
14	137	5366
15	147	5374
16	156	5363
17	157	5101
18	166	5103
19	176	5130
20	186	5145
21	195	5142
22	204	5140
23	214	5147
24	223	5139
25	232	5136
26	241	5129
27	250	5127
28	260	5132
29	269	5125
30	279	5124
31	288	5120
32	297	5117
33	298	4962
34	307	4966
35	316	4963
36	318	4849
37	327	4847
38	336	4846
39	346	4852
40	355	4852
41	365	4859
42	375	4858
43	377	4764
44	386	4762
45	395	4759
46	404	4761
47	413	4759
48	414	4664
49	424	4667
50	433	4668
51	443	4669
52	452	4668
53	462	4674
54	469	4649
55	479	4657
56	488	4652
57	497	4649
58	507	4654
59	516	4651
60	525	4646
61	535	4645
62	544	4642
63	554	4639
64	563	4634
65	572	4630
66	581	4628
67	590	4622
68	600	4617
69	609	4614
70	619	4615
71	628	4609
72	637	4604
73	646	4598
74	656	4595
75	665	4589
76	674	4583
77	685	4588
78	695	4583
79	704	4581
80	713	4574
81	722	4566
82	732	4561
83	741	4556
84	751	4551
85	760	4543
86	769	4535
87	778	4530
88	787	4523
89	797	4518
90	807	4515
91	817	4512
92	826	4505
93	835	4497
94	844	4490
95	853	4482
96	863	4475
97	872	4467
98	892	4518
99	905	4526
100	915	4525
101	928	4532
102	938	4527
103	948	4523
104	959	4525
105	971	4525
106	983	4532
107	997	4544
108	1006	4535
109	1017	4531
110	1026	4524
111	1036	4516
112	1046	4511
113	1057	4508
114	1068	4504
115	1078	4498
116	1094	4518
117	1110	4535
118	1134	4584
119	1153	4615
120	1170	4633
121	1189	4662
122	1205	4676
123	1221	4690
124	1235	4695
125	1250	4704
126	1270	4730
127	1286	4744
128	1302	4755
129	1321	4779
130	1340	4797
131	1356	4810
132	1376	4832
133	1392	4841
134	1410	4858
135	1429	4876
136	1445	4885
137	1464	4904
138	1479	4906
139	1498	4924
140	1515	4934
141	1536	4954
142	1555	4970
143	1574	4987
144	1609	5051
145	1639	5097
146	1653	5095
147	1673	5109
148	1688	5109
149	1707	5122
150	1724	5127
151	1744	5140
152	1760	5143
153	1780	5155
154	1797	5159
155	1814	5164
156	1830	5165
157	1849	5174
158	1868	5182
159	1885	5185
160	1905	5195
161	1924	5204
162	1941	5206
163	1960	5210
164	1978	5215
165	1992	5208
166	2011	5216
167	2035	5235
168	2055	5242
169	2069	5235
170	2089	5242
171	2118	5271
172	2134	5268
173	2153	5273
174	2174	5280
175	2193	5284
176	2210	5282
177	2227	5281
178	2245	5281
179	2262	5278
180	2281	5280
181	2301	5286
182	2321	5289
183	2339	5288
184	2355	5283
185	2367	5268
186	2386	5271
187	2403	5267
188	2417	5258
189	2437	5259
190	2452	5251
191	2481	5273
192	2506	5284
193	2525	5285
194	2551	5299
195	2584	5326
196	2606	5331
197	2624	5327
198	2640	5321
199	2654	5309
200	2672	5305
201	2689	5299
202	2708	5297
203	2723	5286
204	2742	5285
205	2756	5272
206	2776	5270
207	2792	5263
208	2809	5255
209	2823	5242
210	2842	5240
211	2856	5228
212	2872	5219
213	2892	5216
214	2909	5210
215	2926	5202
216	2941	5192
217	2961	5188
218	2978	5181
219	2997	5177
220	3013	5168
221	3028	5156
222	3045	5149
223	3064	5143
224	3078	5130
225	3098	5126
226	3114	5117
227	3143	5128
228	3159	5118
229	3176	5110
230	3196	5105
231	3210	5092
232	3230	5088
233	3247	5078
234	3265	5071
235	3282	5063
236	3298	5052
237	3317	5046
238	3332	5034
239	3349	5024
240	3369	5019
241	3385	5008
242	3400	4995
243	3414	4982
244	3434	4976
245	3448	4962
246	3465	4952
247	3488	4950
248	3501	4936
249	3521	4930
250	3539	4921
251	3556	4911
252	3575	4904
253	3592	4893
254	3608	4882
255	3622	4868
256	3650	4872
257	3667	4860
258	3685	4852
259	3702	4841
260	3711	4820
261	3721	4800
262	3731	4780
263	3740	4760
264	3749	4739
265	3758	4719
266	3767	4699
267	3777	4679
268	3786	4659
269	3795	4639
270	3809	4624
271	3819	4605
272	3828	4585
273	3839	4568
274	3848	4548
275	3858	4529
276	3874	4518
277	3885	4500
278	3895	4481
279	3904	4462
280	3913	4443
281	3923	4423
282	3932	4405
283	3942	4386
284	3951	4367
285	3960	4348
286	3970	4330
287	3979	4311
288	3989	4292
289	3998	4273
290	4007	4255
291	4016	4237
292	4025	4218
293	4035	4199
294	4044	4182
295	4055	4164
296	4064	4146
297	4073	4128
298	4082	4110
299	4091	4091
300	4101	4074
301	4111	4056
302	4120	4038
303	4129	4021
304	4138	4003
305	4148	3985
306	4159	3969
307	4169	3953
308	4179	3936
309	4188	3918
310	4198	3901
311	4207	3883
312	4217	3867
