iter	Passed	Remaining
0	12	7785
1	26	7919
2	27	5512
3	41	6227
4	42	5104
5	50	4954
6	63	5364
7	79	5855
8	94	6208
9	109	6467
10	125	6717
11	126	6195
12	142	6420
13	156	6561
14	172	6714
15	188	6877
16	206	7085
17	223	7225
18	237	7275
19	250	7276
20	263	7257
21	276	7265
22	288	7237
23	300	7210
24	314	7244
25	327	7224
26	340	7220
27	354	7238
28	367	7231
29	379	7209
30	393	7222
31	406	7218
32	419	7212
33	432	7200
34	445	7198
35	458	7184
36	470	7157
37	482	7133
38	494	7117
39	507	7098
40	519	7077
41	531	7061
42	544	7048
43	555	7019
44	567	6995
45	578	6969
46	591	6960
47	604	6946
48	617	6941
49	629	6925
50	641	6904
51	653	6884
52	665	6868
53	677	6852
54	689	6830
55	701	6815
56	713	6794
57	726	6790
58	738	6774
59	750	6752
60	762	6735
61	775	6731
62	787	6716
63	800	6701
64	812	6686
65	824	6670
66	836	6654
67	848	6641
68	862	6634
69	874	6618
70	886	6602
71	897	6584
72	910	6570
73	922	6559
74	934	6543
75	946	6527
76	958	6510
77	970	6496
78	982	6481
79	995	6469
80	1006	6448
81	1017	6428
82	1029	6411
83	1041	6395
84	1052	6377
85	1064	6363
86	1077	6350
87	1089	6338
88	1101	6325
89	1113	6307
90	1126	6300
91	1139	6293
92	1153	6289
93	1168	6290
94	1184	6298
95	1199	6297
96	1213	6291
97	1228	6290
98	1241	6285
99	1255	6277
100	1271	6283
101	1287	6286
102	1300	6277
103	1315	6275
104	1329	6265
105	1342	6254
106	1354	6240
107	1368	6233
108	1381	6223
109	1394	6212
110	1408	6204
111	1422	6196
112	1435	6184
113	1449	6181
114	1463	6171
115	1477	6163
116	1491	6157
117	1507	6157
118	1523	6158
119	1537	6151
120	1553	6148
121	1578	6185
122	1595	6187
123	1609	6177
124	1623	6168
125	1640	6169
126	1655	6164
127	1670	6160
128	1685	6153
129	1702	6154
130	1714	6137
131	1728	6127
132	1740	6111
133	1752	6094
134	1762	6072
135	1774	6055
